序号,汉字,声调,拼音,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
18698,軼,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18699,鈠,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18700,骮,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18701,亄,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18702,意,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18703,意,0,yi,i̞0·,ji0·,iᶨ0·,i0·,i0·,i0·,i0·,i0·,ji0·,i0·,i0·
18704,溢,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18705,獈,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18706,痬,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18707,竩,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18708,缢,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18709,義,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18710,肄,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18711,裔,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18712,裛,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18713,詣,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18714,勩,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18715,嫕,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18716,廙,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18717,榏,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18718,潩,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18719,瘗,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18720,膉,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18721,蓺,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18722,蜴,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18723,靾,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18724,駅,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18725,億,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18726,撎,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18727,槸,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18728,毅,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18729,熠,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18730,熤,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18731,熼,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18732,瘞,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18733,镒,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18734,鹝,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18735,鹢,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18736,黓,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18737,劓,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18738,圛,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18739,墿,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18740,嬑,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18741,嶧,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18742,憶,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18743,懌,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18744,曀,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18745,殪,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18746,澺,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18747,燚,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18748,瘱,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18749,瞖,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18750,穓,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18751,縊,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18752,艗,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18753,薏,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18754,螠,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18755,褹,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18756,寱,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18757,斁,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18758,曎,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18759,檍,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18760,歝,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18761,燡,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18762,翳,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18763,翼,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18764,臆,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18765,貖,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18766,鮨,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18767,癔,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18768,藙,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18769,藝,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18770,贀,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18771,鎰,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18772,镱,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18773,繶,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18774,繹,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18775,豷,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18776,霬,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18777,鯣,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18778,鶂,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18779,鶃,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18780,鶍,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18781,瀷,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18782,蘙,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18783,譯,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18784,議,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18785,醳,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18786,饐,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18787,囈,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18788,鐿,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18789,鷁,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18790,鷊,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18791,襼,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18792,驛,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18793,鷧,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18794,虉,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18795,鷾,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18796,讛,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18797,齸,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18798,襗,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18799,樴,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18800,癦,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18801,焬,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18802,阣,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18803,兿,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18804,誼,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18805,燱,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18806,懿,4,yi,i̞˥˧·,ji˥˩·,iᶨ˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,i˥˩·,ji˥˩·,i˥˩·,i˥˩·
18807,鮣,0,yin,ȋ̞ɹ̩̃0·,jin0·,jji̞n̚0·,jin0·,jin0·,in0·,in0·,iɪⁿ0·,jin0·,jin0·,in0·
18808,乚,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18809,囙,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18810,因,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18811,阥,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18812,阴,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18813,侌,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18814,垔,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18815,姻,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18816,洇,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18817,茵,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18818,荫,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18819,音,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18820,骃,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18821,栶,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18822,殷,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18823,殷,1,yan,ɜɹ̃˥·,jan˥·,ja̠n̚˥·,jan˥·,ja̝n˥·,ian˥·,ian˥·,iɛⁿ˥·,jan˥·,iɛn˥·,ian˥·
18824,氤,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18825,陰,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18826,凐,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18827,秵,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18828,裀,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18829,铟,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18830,陻,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18831,堙,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18832,婣,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18833,愔,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18834,筃,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18835,絪,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18836,歅,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18837,溵,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18838,禋,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18839,蒑,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18840,蔭,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
18841,瘖,1,yin,ȋ̞ɹ̩̃˥·,jin˥·,jji̞n̚˥·,jin˥·,jin˥·,in˥·,in˥·,iɪⁿ˥·,jin˥·,jin˥·,in˥·
